"Rank","Crypto","Ticker","Price","Change_1h","Change_24h","Change_7d","Volume_24h","Market_Cap"
35,"VeChain","VET","$0.061553974302","0.0%","-0.2%","-5.1%","$178,403,984","$4,111,623,208"
36,"Hedera","HBAR","$0.201681","0.1%","0.8%","-3.4%","$41,616,447","$4,046,832,082"
37,"Internet Computer","ICP","$16.93","-0.1%","1.2%","-6.1%","$83,922,389","$3,795,389,234"
38,"Axie Infinity","AXS","$47.89","0.3%","-0.3%","-5.8%","$219,101,841","$3,708,962,206"
39,"Filecoin","FIL","$19.10","0.1%","0.1%","-10.2%","$140,177,478","$3,695,101,559"
40,"Elrond","EGLD","$154.20","-0.1%","-0.8%","-4.0%","$50,480,986","$3,421,732,803"
41,"ApeCoin","APE","$12.08","0.3%","-1.2%","12.0%","$330,066,977","$3,354,514,419"
42,"The Sandbox","SAND","$2.83","0.2%","1.1%","-2.6%","$215,052,070","$3,277,315,124"
43,"Decentraland","MANA","$2.15","0.2%","0.6%","-5.2%","$167,129,545","$3,260,449,910"
44,"cETH","CETH","$61.10","-0.0%","-0.1%","-5.6%","$348.37","$3,186,952,774"
45,"Theta Network","THETA","$3.03","0.1%","-0.2%","-8.9%","$71,955,434","$3,032,765,940"
46,"Fantom","FTM","$1.18","1.1%","0.2%","-5.4%","$290,811,933","$2,995,324,437"
47,"Tezos","XTZ","$3.23","0.4%","1.6%","1.7%","$172,179,935","$2,848,183,492"
48,"Magic Internet Money","MIM","$0.999456","0.0%","-0.8%","-0.1%","$10,033,775","$2,815,362,129"
49,"Klaytn","KLAY","$0.996486","0.1%","-2.1%","-6.9%","$23,805,991","$2,771,566,557"
50,"Frax","FRAX","$1.00","0.1%","-0.8%","0.4%","$10,548,338","$2,700,073,040"
51,"EOS","EOS","$2.52","0.7%","5.6%","5.7%","$471,829,946","$2,496,031,706"
52,"The Graph","GRT","$0.364659","0.1%","0.0%","-7.6%","$72,815,863","$2,442,613,981"
53,"THORChain","RUNE","$8.00","0.2%","-5.7%","-7.3%","$124,700,719","$2,406,552,437"
54,"Aave","AAVE","$174.44","0.5%","1.5%","-5.0%","$138,876,746","$2,385,776,487"
55,"PancakeSwap","CAKE","$8.19","0.2%","0.2%","-2.7%","$99,547,811","$2,343,747,171"
56,"DeFiChain","DFI","$4.32","0.2%","1.3%","-0.7%","$7,002,484","$2,234,964,491"
57,"Waves","WAVES","$21.71","-0.6%","2.7%","-17.8%","$576,749,538","$2,171,507,685"
58,"Flow","FLOW","$5.89","0.3%","-0.9%","-5.1%","$40,335,712","$2,121,784,853"
59,"Helium","HNT","$20.54","0.3%","-0.4%","-6.7%","$6,439,990","$2,065,094,154"
60,"Osmosis","OSMO","$5.87","-0.2%","-0.9%","-15.5%","$36,773,178","$2,035,933,773"
61,"KuCoin Token","KCS","$20.13","0.1%","0.3%","3.6%","$7,676,393","$1,980,920,560"
62,"cUSDC","CUSDC","$0.022566856071","0.0%","-1.1%","0.2%","$0.000000000000","$1,932,039,823"
63,"Theta Fuel","TFUEL","$0.166246","-0.2%","0.3%","-5.8%","$5,821,138","$1,886,178,774"
64,"IOTA","MIOTA","$0.674471","0.1%","0.3%","-6.6%","$28,710,643","$1,875,130,313"
65,"BitTorrent","BTT","$0.000001976484","0.6%","0.3%","1.0%","$139,908,952","$1,823,650,796"
66,"Zcash","ZEC","$145.43","-0.0%","-1.0%","-12.7%","$80,183,566","$1,792,788,257"
67,"eCash","XEC","$0.000093480615","0.0%","-1.4%","-8.7%","$12,593,370","$1,785,261,596"
68,"Maker","MKR","$1,893.61","-0.1%","-4.2%","-6.8%","$60,947,155","$1,705,874,580"
69,"Frax Share","FXS","$28.61","-0.2%","-1.8%","-6.0%","$9,655,613","$1,653,203,506"
70,"Convex Finance","CVX","$28.47","0.6%","-0.7%","-17.9%","$11,327,118","$1,644,606,573"
71,"Bitcoin SV","BSV","$85.95","0.2%","0.3%","-0.4%","$50,882,912","$1,636,201,620"
72,"cDAI","CDAI","$0.021973683706","0.0%","-1.1%","0.1%","$370.96","$1,634,630,845"
73,"Huobi BTC","HBTC","$40,308.68","0.1%","-0.3%","-5.8%","$296,122","$1,608,130,634"
74,"Zilliqa","ZIL","$0.112110","-0.1%","0.2%","-7.5%","$300,823,782","$1,587,346,161"
75,"Chain","XCN","$0.094547197096","1.0%","-14.4%","0.6%","$196,388,097","$1,586,434,809"
76,"Kusama","KSM","$175.47","0.3%","5.4%","1.8%","$100,389,562","$1,572,027,886"
77,"Gala","GALA","$0.203271","0.2%","1.0%","-4.8%","$169,405,978","$1,530,546,759"
78,"NEO","NEO","$21.56","-0.1%","2.2%","-1.5%","$96,832,635","$1,519,635,694"
79,"Arweave","AR","$30.30","0.8%","-0.4%","-9.2%","$10,909,867","$1,516,341,542"
80,"Quant","QNT","$112.23","0.0%","-1.1%","-7.7%","$47,158,713","$1,503,721,149"
81,"Huobi Token","HT","$9.42","-0.3%","-1.6%","1.1%","$31,160,480","$1,460,454,605"
82,"Harmony","ONE","$0.122128","-0.0%","0.7%","-3.7%","$43,555,956","$1,458,678,700"
83,"STEPN","GMT","$2.37","-0.7%","5.7%","9.1%","$752,571,135","$1,425,875,876"
84,"Enjin Coin","ENJ","$1.51","0.1%","-0.1%","-9.0%","$95,949,665","$1,407,983,673"
85,"Celo","CELO","$3.20","-0.1%","2.4%","-9.2%","$60,336,839","$1,384,522,309"
86,"TrueUSD","TUSD","$1.00","0.0%","-1.3%","-0.0%","$64,381,300","$1,367,877,244"
87,"Radix","XRD","$0.138362","-1.0%","-2.2%","-0.8%","$249,940","$1,361,843,704"
88,"NEXO","NEXO","$2.40","0.3%","0.7%","1.8%","$10,629,813","$1,349,296,956"
89,"Humans.ai","HEART","$0.029892813956","0.0%","-2.7%","-33.6%","$338,088","$1,309,127,902"
90,"Chiliz","CHZ","$0.236496","0.1%","-1.2%","2.6%","$110,070,507","$1,263,659,875"
91,"Stacks","STX","$1.18","-0.1%","-1.7%","-5.4%","$8,466,377","$1,240,403,021"
92,"Synthetix Network Token","SNX","$5.28","0.2%","-6.0%","1.1%","$63,421,108","$1,153,124,426"
93,"Dash","DASH","$108.02","0.6%","-1.5%","-2.6%","$159,006,163","$1,152,774,284"
94,"Loopring","LRC","$0.902922","1.0%","1.7%","-6.2%","$65,595,451","$1,125,649,097"
95,"Basic Attention Token","BAT","$0.750673","-0.3%","3.6%","1.2%","$107,388,722","$1,125,379,206"
96,"BitDAO","BIT","$1.22","-0.1%","0.9%","-0.5%","$37,169,365","$1,122,926,453"
97,"Mina Protocol","MINA","$2.43","1.2%","5.1%","-24.3%","$48,122,248","$1,120,956,031"
98,"Amp","AMP","$0.022802951520","-0.1%","0.5%","-7.0%","$6,409,967","$1,094,167,291"
99,"Pax Dollar","USDP","$0.999416","-0.3%","-1.4%","-0.1%","$469,353,790","$1,005,544,802"
100,"GateToken","GT","$6.46","0.1%","-3.1%","-2.6%","$5,712,497","$980,947,557"
